track_id,track_name,duration,primary_artists,language,track_url,track_image,download_url,spotify_track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
bkZiVDG_,Muskurane (Romantic),338,"Jeet Gannguli, Arijit Singh",hindi,https://www.jiosaavn.com/song/muskurane-romantic/EgMxWCJ0cGw,https://c.saavncdn.com/289/Muskurane-Romantic--Hindi-2014-20200721152134-150x150.jpg,https://aac.saavncdn.com/289/95a6dfcfb0402b3d2d01f7692517c00c_320.mp4,6fW78cd0p3ZDUzoqvx2Xqe,0.628,0.567,334331,0.577,0.0,11,0.132,-6.197,0,0.0264,101.99,4,0.217
riNBfJ3P,Sanam Re,308,"Arijit Singh, Mithoon",hindi,https://www.jiosaavn.com/song/sanam-re/AgElcxJ6BGM,https://c.saavncdn.com/829/Sanam-Re-Hindi-2015-150x150.jpg,https://aac.saavncdn.com/829/60f214aa16aadb4de15be6db3e962232_320.mp4,0CVfovmUv7BnemOyTtOcbL,0.395,0.581,308714,0.71,0.0,7,0.137,-4.961,0,0.0374,111.969,4,0.755
ApCkDln7,"Dance Ka Bhoot (From ""Brahmastra"")",245,"Pritam, Arijit Singh, Amitabh Bhattacharya",hindi,https://www.jiosaavn.com/song/dance-ka-bhoot-from-brahmastra/MRgoWjBcWQQ,https://c.saavncdn.com/027/Dance-Ka-Bhoot-From-Brahmastra-Hindi-2022-20220825123535-150x150.jpg,https://aac.saavncdn.com/027/b17693edabd094101a3168c6a46ab8fa_320.mp4,5OcGETO7eEKjKme4gm0r7y,0.0503,0.632,245735,0.929,0.0,6,0.271,-5.297,1,0.128,136.008,4,0.584
uiEWT3kP,"Channa Mereya (From ""Ae Dil Hai Mushkil"")",289,"Pritam, Arijit Singh",hindi,https://www.jiosaavn.com/song/channa-mereya-from-ae-dil-hai-mushkil/BQEuZiADXGM,https://c.saavncdn.com/257/Ae-Dil-Hai-Mushkil-Hindi-2016-150x150.jpg,https://aac.saavncdn.com/597/6da0627cfcc4b937160f664841e4572d_320.mp4,0H2iJVgorRR0ZFgRqGUjUM,0.237,0.476,289333,0.788,2.49e-05,9,0.106,-4.821,0,0.0446,90.066,4,0.746
Dlxv1-Kc,"Pachtaoge (From ""Jaani Ve"")",226,Arijit Singh,hindi,https://www.jiosaavn.com/song/pachtaoge-from-jaani-ve/NAQTR0UdfFA,https://c.saavncdn.com/200/Pachtaoge-From-Jaani-Ve--Hindi-2019-20190823024539-150x150.jpg,https://aac.saavncdn.com/200/35c0c9ddb5ad17460ba1442632fbc271_320.mp4,5QVHNa0ppJUOoqSd36ovQS,0.624,0.515,226789,0.691,0.0,5,0.121,-4.028,0,0.0344,169.521,3,0.484
mHdeoOP-,Kalank (Title Track),311,"Pritam, Arijit Singh",hindi,https://www.jiosaavn.com/song/kalank-title-track/HSAPVBt-Zx4,https://c.saavncdn.com/784/Kalank-Hindi-2019-20200508163312-150x150.jpg,https://aac.saavncdn.com/784/cb058de567211b7aa1d7c29a2e8f3623_320.mp4,6vo7Y1iWyZvpjvFbf6BiZ5,0.524,0.57,311186,0.55,3.73e-05,10,0.0921,-8.343,1,0.035,117.999,4,0.435
IlbqfHKT,Phir Bhi Tumko Chaahunga,352,"Mithoon, Arijit Singh, Shashaa Tirupati",hindi,https://www.jiosaavn.com/song/phir-bhi-tumko-chaahunga/OQQJQBJ4fGc,https://c.saavncdn.com/441/Half-Girlfriend-Hindi-2017-20180622-150x150.jpg,https://aac.saavncdn.com/441/5be788f75761b20e5dbcecdd3069a1c4_320.mp4,35P2Xal9x3GAdOHytyEUFe,0.876,0.527,351588,0.525,1.41e-05,1,0.172,-8.106,1,0.0337,99.638,4,0.257
aOEJX-ur,Hamari Adhuri Kahani,398,Arijit Singh,hindi,https://www.jiosaavn.com/song/hamari-adhuri-kahani/EScueywdQkE,https://c.saavncdn.com/577/Hamari-Adhuri-Kahani-Hindi-2015-150x150.jpg,https://aac.saavncdn.com/577/2c5bf729939345ca2e90cd29203b13ea_320.mp4,3HiobOOpSpMsi95WBKPBYk,0.845,0.223,398799,0.359,0.0,0,0.133,-7.569,1,0.0312,73.059,4,0.193
gTOlL2wh,Sawan Aaya Hai,288,"Tony Kakkar, Mithoon, Arijit Singh",hindi,https://www.jiosaavn.com/song/sawan-aaya-hai/FzwkXTgCQFs,https://c.saavncdn.com/244/Creature-3D-Hindi-2014-150x150.jpg,https://aac.saavncdn.com/244/98a13be3a4fcf18757f5dbe76a59e845_320.mp4,2znIV62IxtbY9gSEPdIAho,0.26,0.365,288177,0.67,1.43e-06,10,0.14,-7.51,0,0.221,78.776,4,0.367
sdcBP7ex,"Mere Yaaraa (From ""Sooryavanshi"")",285,"Arijit Singh, Neeti Mohan, Kaushik, Guddu, Akash",hindi,https://www.jiosaavn.com/song/mere-yaaraa-from-sooryavanshi/AwwIcyQHUks,https://c.saavncdn.com/649/Mere-Yaaraa-From-Sooryavanshi--Hindi-2021-20211027113043-150x150.jpg,https://aac.saavncdn.com/649/3007f5716f458cce766ab1c70b54d477_320.mp4,0tpwqQhdfJXRcUDSNRjb9O,0.713,0.324,285164,0.539,3.15e-05,2,0.118,-8.076,1,0.038,120.526,4,0.486
d-O4NgD6,Mast Magan,280,"Shankar-Ehsaan-Loy, Arijit Singh, Chinmayi Sripada",hindi,https://www.jiosaavn.com/song/mast-magan/FEUkBTpXcwU,https://c.saavncdn.com/930/2-States-2014-150x150.jpg,https://aac.saavncdn.com/930/951f2d707e9ea617fce5e5d8338393ae_320.mp4,3uL1IBFhg52VcQqOwAG01E,0.606,0.659,280161,0.774,0.000333,7,0.185,-7.014,1,0.0372,82.995,4,0.883
m6DcVXHw,Enna Sona,213,"A.R. Rahman, Arijit Singh",hindi,https://www.jiosaavn.com/song/enna-sona/HV4vUiJof0Q,https://c.saavncdn.com/835/OK-Jaanu-Original-Motion-Picture-Soundtrack-Hindi-2017-20230203133341-150x150.jpg,https://aac.saavncdn.com/835/3bb5690b365de4a583ed5a98632cc8c4_320.mp4,6bdpj89aYEBjhpsenXAsmO,0.635,0.717,213632,0.416,1.43e-06,7,0.0976,-9.875,0,0.0303,100.026,4,0.381
Xo1Z1OwW,Ik Vaari Aa,275,Arijit Singh,hindi,https://www.jiosaavn.com/song/ik-vaari-aa/KAdaa0V-QGQ,https://c.saavncdn.com/023/Raabta-Hindi-2017-150x150.jpg,https://aac.saavncdn.com/023/b423a2e1770dbeddd12a8c4c51ed1dae_320.mp4,7fyiYhn7STpHvT5g0lbncC,0.305,0.512,274687,0.752,0.0,4,0.708,-4.857,0,0.0534,127.965,4,0.428
BDET6q2V,Sooraj Dooba Hain,265,"Amaal Mallik, Arijit Singh, Aditi Singh Sharma",hindi,https://www.jiosaavn.com/song/sooraj-dooba-hain/MiwuZUJBBWU,https://c.saavncdn.com/647/Roy-Hindi-2015-150x150.jpg,https://aac.saavncdn.com/647/f53773a79eb87437b3a353869978a0b2_320.mp4,48pyUxg9RYuwie5M9R7qRn,0.172,0.616,264854,0.75,0.0,2,0.137,-4.629,1,0.0594,128.051,4,0.434
xHt-CwIv,First Class,276,"Pritam, Neeti Mohan, Arijit Singh",hindi,https://www.jiosaavn.com/song/first-class/CCAfHDdHfkU,https://c.saavncdn.com/784/Kalank-Hindi-2019-20200508163312-150x150.jpg,https://aac.saavncdn.com/784/aa7c6c1adeb4fafd4bf8b704feb8d0ea_320.mp4,0wHFktze2PHC5jDt3B17DC,0.111,0.902,173948,0.582,3.18e-06,5,0.111,-5.902,0,0.109,107.005,4,0.332
